name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
JK Cement,4.2,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 185 more",49 years old,1k-5k Employees (India)
Future Retail,4.2,(4.3k Reviews),Public,"San Francisco,California + 189 more",36 years old,10k-50k Employees (India)
PolicyBazaar,3.6,(1.7k Reviews),Public,"Gurgaon,Haryana + 44 more",15 years old,5k-10k Employees (India)
Flex,4.2,(1.7k Reviews),Private,San Jose + 32 more,54 years old,10k-50k Employees (India)
Reliance Digital,4.3,(1.7k Reviews),Private,"Mumbai,Maharashtra + 238 more",16 years old,5k-10k Employees (India)
Patanjali Ayurve...,4.1,(1.7k Reviews),Private,"Haridwar,Uttarakhand + 224 more",17 years old,5k-10k Employees (India)
Dilip Buildcon,4.0,(1.7k Reviews),Public,"Bhopal,Madhya Pradesh + 146 more",36 years old,10k-50k Employees (India)
KPIT Technologie...,3.7,(1.7k Reviews),Public,"Pune,Maharashtra + 21 more",33 years old,5k-10k Employees (India)
Access Healthcar...,4.0,(1.7k Reviews),Private,"Dallas,Texas + 16 more",12 years old,1k-5k Employees (India)
Ola Cabs,3.4,(2.6k Reviews),Private,Bangalore + 86 more,13 years old,10k-50k Employees (India)
Rivigo,3.9,(1.6k Reviews),Private,"Gurgaon,Haryana + 145 more",9 years old,1k-5k Employees (India)
Aakash Education...,3.7,(1.9k Reviews),Private,"New Delhi,Delhi + 155 more",35 years old,10k-50k Employees (India)
Tata AIG,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 191 more",23 years old,5k-10k Employees (India)
Tata Teleservice...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 142 more",27 years old,201-500 Employees (India)
Paras Hospital,4.6,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",17 years old,1k-5k Employees (India)
AFCONS Infrastru...,4.4,(1.6k Reviews),Partnership,"Mumbai,Maharashtra + 74 more",64 years old,10k-50k Employees (India)
Legato Health Te...,4.1,(1.6k Reviews),LLP,"Bangalore/Bengaluru,Karnataka + 8 more",6 years old,10k-50k Employees (India)
Blue Dart Expres...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 204 more",40 years old,10k-50k Employees (India)
Mankind Pharma,4.2,(1.9k Reviews),Private,"New Delhi,Delhi + 159 more",28 years old,5k-10k Employees (India)
Nestle,4.1,(1.7k Reviews),Public,Vevey + 190 more,64 years old,10k-50k Employees (India)
Landmark Group,4.3,(4.8k Reviews),Private,"Dubai Marina,Dubai + 117 more",50 years old,1k-5k Employees (India)
Eureka Forbes,4.0,(1.6k Reviews),Private,"Mumbai,Maharashtra + 149 more",41 years old,5k-10k Employees (India)
JMC Projects,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 105 more",41 years old,1k-5k Employees (India)
Statestreet HCL ...,3.3,(1.6k Reviews),Private,New Delhi + 11 more,11 years old,5k-10k Employees (India)
Synechron,4.2,(1.6k Reviews),Private,"New York,New York + 16 more",22 years old,5k-10k Employees (India)
Lifestyle,4.4,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 95 more",24 years old,10k-50k Employees (India)
