name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Ministry Of Heal...,4.3,(264 Reviews),Public,"Delhi/NCR,Delhi + 39 more",47 years old,1 Lakh+ Employees (India)
Chemplast Sanmar,3.9,(264 Reviews),Private,"Chennai,Tamil Nadu + 12 more",56 years old,501-1k Employees (India)
Mott MacDonald,4.2,(264 Reviews),"Croydon,Surrey + 25 more",121 years old,501-1k Employees (India),
Penna Cement Ind...,4.3,(263 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 36 more",32 years old,1k-5k Employees (India)
Mastek,3.9,(263 Reviews),Public,"Mumbai,Maharashtra + 9 more",41 years old,1k-5k Employees (India)
DFM Foods,4.1,(263 Reviews),Public,"Delhi/NCR,New Delhi + 47 more",40 years old,501-1k Employees (India)
Sandoz,4.3,(263 Reviews),Private,Holzkirchen + 15 more,137 years old,1k-5k Employees (India)
Nowfloats Techno...,3.9,(263 Reviews),Private,"Hyderabad,Telangana + 37 more",11 years old,201-500 Employees (India)
Metso Outotec,4.4,(263 Reviews),Alwar + 21 more,501-1k Employees (India),,
IFFCO Kisan Sanc...,3.6,(263 Reviews),Private,"Delhi/NCR,Delhi + 56 more",16 years old,501-1k Employees (India)
Meyer Organics,3.8,(263 Reviews),Private,"Thane,Maharashtra + 44 more",41 years old,1k-5k Employees (India)
Suzuki,4.2,(6.8k Reviews),Private,"Vadodara/Baroda,Gujarat + 110 more",9 years old,10k-50k Employees (India)
RealPage,4.1,(263 Reviews),Private,"Richardson,Texas + 4 more",25 years old,1k-5k Employees (India)
Bussan Auto Fina...,4.5,(262 Reviews),Private,New Delhi + 40 more,89 years old,201-500 Employees (India)
Ramkrishna Forgi...,3.8,(262 Reviews),Public,"Kolkata,West Bengal + 11 more",42 years old,1k-5k Employees (India)
Eversendai,3.6,(262 Reviews),Private,"Selangor Darul Ehsan,Selangor Darul Ehsan + 13 more",39 years old,201-500 Employees (India)
Vindhya Telelink...,4.2,(262 Reviews),Public,"Delhi/NCR,Delhi + 39 more",40 years old,501-1k Employees (India)
Ge T & D India,4.4,(262 Reviews),Public,"Henderson,Nevada + 22 more",66 years old,201-500 Employees (India)
Xdbs,3.5,(262 Reviews),Private,"Redwood City,San Francisco + 2 more",11 years old,1k-5k Employees (India)
Gtpl Broadband,3.9,(262 Reviews),Private,Ahemdabad + 34 more,17 years old,1k-5k Employees (Global)
Greet Technologi...,3.1,(261 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",32 years old,51-200 Employees (India)
Ben Franklin Opt...,4.0,(261 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 76 more",15 years old,201-500 Employees (India)
Vertiv Energy,4.0,(261 Reviews),Private,"Columbus,Ohio + 28 more",30 years old,1k-5k Employees (India)
BYJU'S Exam Prep,4.2,(261 Reviews),Private,"Noida,Uttar Pradesh + 20 more",8 years old,501-1k Employees (India)
SBI Mutual Fund,4.0,(261 Reviews),Private,"Mumbai,Maharashtra + 97 more",36 years old,1k-5k Employees (India)
Enco Engineers C...,3.8,(260 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",40 years old,51-200 Employees (India)
Hafele,4.3,(260 Reviews),Private,Nagold + 32 more,100 years old,501-1k Employees (India)
Hafele,4.3,(260 Reviews),Private,Nagold + 32 more,100 years old,501-1k Employees (India)
Enco Engineers C...,3.8,(260 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",40 years old,51-200 Employees (India)
Blackrock,4.1,(260 Reviews),Private,"New York City,New York + 7 more",19 years old,1k-5k Employees (India)
Visaka Industrie...,4.2,(260 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 35 more",42 years old,1k-5k Employees (India)
M3M India,3.9,(260 Reviews),Private,"Gurgaon,Haryana + 3 more",38 years old,201-500 Employees (India)
Morepen Laborato...,3.8,(260 Reviews),Public,"Baddi,Himachal Pradesh + 24 more",39 years old,1k-5k Employees (India)
Uplers,4.4,(260 Reviews),Private,"Ahmedabad,Gujarat + 9 more",11 years old,1k-5k Employees (India)
You Broadband,3.9,(260 Reviews),Public,"Mumbai,Maharashtra + 24 more",22 years old,1k-5k Employees (India)
Ppap Automotive,3.9,(260 Reviews),Public,"Noida,Uttar Pradesh + 10 more",45 years old,1k-5k Employees (India)
Cotiviti,4.0,(260 Reviews),Private,South Jordan + 2 more,44 years old,1k-5k Employees (India)
Caparo Maruti,3.8,(782 Reviews),JV,"Gurgaon/Gurugram,Haryana + 11 more",29 years old,501-1k Employees (India)
EID Parry (India...,4.3,(274 Reviews),Public,"Chennai,Tamil Nadu + 26 more",235 years old,1k-5k Employees (India)
PayU Payments,4.0,(264 Reviews),Private,Amsterdam + 10 more,21 years old,1k-5k Employees (India)
Axtria,3.4,(259 Reviews),Private,"Berkeley Heights,New Jersey + 7 more",13 years old,1k-5k Employees (India)
Torry Harris Int...,3.9,(259 Reviews),Private,Perth Amboy + 3 more,25 years old,1k-5k Employees (India)
Dunzo,3.8,(259 Reviews),Private,"Bangalore,Karnataka + 13 more",9 years old,1k-5k Employees (India)
HyperCITY,4.5,(259 Reviews),Private,"Mumbai,Maharashtra + 18 more",19 years old,501-1k Employees (India)
SRM University,3.8,(259 Reviews),Private,Chennai + 21 more,38 years old,1k-5k Employees (India)
Hilex,4.0,(259 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",77 years old,201-500 Employees (India)
Family Health Pl...,4.0,(259 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",28 years old,1k-5k Employees (India)
Gulf Oil Lubrica...,4.1,(259 Reviews),Public,"Mumbai,Maharashtra + 51 more",30 years old,501-1k Employees (India)
Ryan Internation...,3.7,(259 Reviews),Public,"Mumbai,Maharashtra + 36 more",31 years old,10k-50k Employees (India)
ITI,3.8,(258 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 54 more",75 years old,501-1k Employees (India)
BKT Tyres,4.1,(258 Reviews),Private,Mumbai + 20 more,35 years old,5k-10k Employees (India)
Surin Automotive,3.5,(258 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",49 years old,201-500 Employees (India)
Me n Moms,3.5,(258 Reviews),Private,"Mumbai,Maharashtra + 36 more",29 years old,201-500 Employees (India)
R.S. Infraprojec...,4.0,(258 Reviews),Private,"Noida,Uttar Pradesh + 31 more",18 years old,501-1k Employees (India)
Solara Active Ph...,3.8,(258 Reviews),Public,"Chennai,Tamil Nadu + 12 more",5 years old,1k-5k Employees (India)
Sapphire Foods I...,3.9,(258 Reviews),Private,"Mumbai,Maharashtra + 37 more",8 years old,5k-10k Employees (India)
Texmaco Rail and...,3.9,(258 Reviews),Private,"Kolkata,West Bengal + 28 more",25 years old,1k-5k Employees (India)
Essar Group,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 35 more",54 years old,10k-50k Employees (India)
ITC Limited Food...,4.1,(257 Reviews),Kolkata + 44 more,113 years old,10k-50k Employees (India),
Toyoda Gosei Min...,4.0,(257 Reviews),Private,Aichi + 15 more,15 years old,51-200 Employees (India)
Seoyon E-hwa Aut...,4.0,(257 Reviews),Private,Seoul + 10 more,51 years old,51-200 Employees (India)
Navin Fluorine I...,4.0,(257 Reviews),Public,"Mumbai,Maharashtra + 9 more",56 years old,501-1k Employees (India)
Writer Safe Guar...,3.8,(257 Reviews),Private,"Mumbai,Maharashtra + 63 more",22 years old,5k-10k Employees (India)
Toshiba JSW Powe...,4.2,(256 Reviews),Private,"Chiyoda-ku,Tokyo-to + 10 more",10 years old,501-1k Employees (India)
Artemis Health I...,4.5,(256 Reviews),Public,"Gurgaon/Gurugram,Haryana + 9 more",16 years old,1k-5k Employees (India)
Dharampal Premch...,4.0,(256 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",94 years old,201-500 Employees (India)
Metalman Auto,4.0,(256 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",37 years old,1k-5k Employees (India)
Eurokids,4.1,(256 Reviews),Private,"Mumbai,Maharashtra + 49 more",22 years old,501-1k Employees (India)
DesignTech Syste...,3.3,(256 Reviews),Private,Pune + 25 more,25 years old,501-1k Employees (India)
Silverlink Techn...,4.5,(256 Reviews),Private,"Mumbai,Maharashtra + 13 more",20 years old,201-500 Employees (India)
convergys india ...,3.6,(256 Reviews),Gurgaon/Gurugram + 8 more,,,
Hewlett Packard ...,4.5,(256 Reviews),Bengaluru/Bangalore + 5 more,,,
Broadcom,3.4,(266 Reviews),Private,"San Jose,California + 4 more",47 years old,1k-5k Employees (India)
Tractebel,4.1,(255 Reviews),Private,"Chakkarpur,Haryana + 46 more",30 years old,501-1k Employees (India)
Serum Institute ...,4.3,(255 Reviews),Private,Pune + 13 more,57 years old,1k-5k Employees (India)
RSWM,4.4,(255 Reviews),Public,Noida + 26 more,62 years old,10k-50k Employees (India)
HEISCO,4.0,(255 Reviews),Private,Safat + 18 more,49 years old,201-500 Employees (India)
Maharashtra Seam...,3.6,(255 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",35 years old,1k-5k Employees (India)
Muthoottu Mini F...,3.7,(255 Reviews),Hyderabad/Secunderabad + 56 more,,,
Essar Projects I...,4.3,(255 Reviews),Public,Mumbai + 31 more,54 years old,5k-10k Employees (India)
Elecon Engineeri...,4.1,(255 Reviews),Public,Gujrat + 18 more,72 years old,501-1k Employees (India)
Impetus Technolo...,3.9,(255 Reviews),Private,Los Gatos + 14 more,32 years old,1k-5k Employees (India)
ABP Group,3.4,(255 Reviews),Private,"Kolkata,West Bengal + 17 more",101 years old,1k-5k Employees (India)
Keysight Technol...,4.1,(254 Reviews),Private,"Santa Rosa,California + 7 more",9 years old,1k-5k Employees (India)
TVS Eurogrip,3.6,(254 Reviews),Public,Madurai + 35 more,41 years old,1k-5k Employees (India)
Bhagwati Product...,3.8,(254 Reviews),Public,"Delhi/NCR,New Delhi + 13 more",21 years old,11-50 Employees (India)
Venkateshwara Ha...,3.8,(254 Reviews),Private,"Pune,Maharashtra + 34 more",52 years old,201-500 Employees (India)
Maharashtra Seam...,3.6,(254 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",35 years old,1k-5k Employees (India)
Herbalife Intern...,4.3,(254 Reviews),Private,Los Angeles + 58 more,43 years old,1k-5k Employees (India)
MITS GLOBAL CONS...,4.7,(254 Reviews),Mumbai + 7 more,5k-10k Employees (India),,
TVS Eurogrip,3.6,(254 Reviews),Public,Madurai + 35 more,41 years old,1k-5k Employees (India)
Aurangabad Elect...,4.0,(253 Reviews),Private,"Aurangabad,Maharashtra + 5 more",38 years old,501-1k Employees (India)
Alpla,4.0,(253 Reviews),Private,"Hard,Vorarlberg + 11 more",68 years old,501-1k Employees (India)
Suroj Buildcon,4.2,(253 Reviews),Private,"Pune,Maharashtra + 21 more",10 years old,1k-5k Employees (India)
Subex,3.5,(253 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 4 more",31 years old,501-1k Employees (India)
Virtual Employee,3.7,(253 Reviews),Private,"Noida,Uttar Pradesh + 9 more",16 years old,1k-5k Employees (India)
Kharafi National,4.2,(253 Reviews),Private,Cairo + 16 more,47 years old,201-500 Employees (India)
Balmer Lawrie,3.9,(253 Reviews),Private,"Kolkata,West Bengal + 26 more",156 years old,1k-5k Employees (India)
Jamna Auto Indus...,3.5,(253 Reviews),Public,"Yamunanagar,Haryana + 24 more",69 years old,1k-5k Employees (India)
Dineshchandra R ...,3.9,(253 Reviews),Private,"Ahmedabad,Gujarat + 42 more",51 years old,1k-5k Employees (India)
Caratlane Tradin...,4.5,(253 Reviews),Private,"Chennai,Tamil Nadu + 22 more",15 years old,1k-5k Employees (India)
Venkateshwara Ha...,3.7,(253 Reviews),Private,"Pune,Maharashtra + 34 more",52 years old,201-500 Employees (India)
Welspun Corp,3.9,(253 Reviews),Mumbai + 15 more,38 years old,5k-10k Employees (India),
Keysight Technol...,4.1,(253 Reviews),Private,"Santa Rosa,California + 7 more",9 years old,1k-5k Employees (India)
Nissan,4.1,(257 Reviews),Private,"Yokohama-shi,Kanagawa + 54 more",90 years old,10k-50k Employees (India)
Aimil Pharmaceut...,3.6,(252 Reviews),Private,"Delhi/NCR,New Delhi + 34 more",91 years old,501-1k Employees (India)
Central Reserve ...,4.7,(252 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 49 more",84 years old,1 Lakh+ Employees (India)
Trianz,4.1,(252 Reviews),Private,"Santa Clara,California + 2 more",17 years old,1k-5k Employees (India)
Aarti Drugs,3.9,(252 Reviews),Public,Mumbai + 9 more,39 years old,201-500 Employees (India)
Indian Space Res...,4.3,(252 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",54 years old,10k-50k Employees (India)
Vidal Health Tpa,3.9,(252 Reviews),Private,Bangalore + 34 more,13 years old,201-500 Employees (India)
Bsh Household Ap...,4.2,(252 Reviews),"Munich,Munich + 30 more",56 years old,1k-5k Employees (India),
Medall Healthcar...,3.5,(252 Reviews),Private,"Chennai,Tamil Nadu + 42 more",29 years old,1k-5k Employees (India)
Vatika Group,4.1,(252 Reviews),Private,Gurgaon + 10 more,37 years old,1k-5k Employees (Global)
Grab A Grub Serv...,4.1,(252 Reviews),Private,Mumbai + 66 more,10 years old,51-200 Employees (India)
Wipro GE Health ...,4.2,(252 Reviews),Chicago + 27 more,131 years old,201-500 Employees (India),
AccorHotels,4.5,(643 Reviews),Private,Paris + 30 more,56 years old,1k-5k Employees (India)
Agro Tech Foods,4.3,(282 Reviews),Public,"Gurgaon/Gurugram,Haryana + 42 more",37 years old,501-1k Employees (India)
C-Edge Technolog...,3.9,(251 Reviews),Private,Thane + 14 more,17 years old,501-1k Employees (India)
EXEDY,3.9,(251 Reviews),Private,Keysborough + 13 more,46 years old,201-500 Employees (India)
V-Xpress,4.3,(251 Reviews),Private,"Chembur,Maharashtra + 51 more",21 years old,501-1k Employees (India)
Consulting Engin...,4.4,(251 Reviews),Public,"Jaipur,Rajasthan + 42 more",39 years old,1k-5k Employees (India)
SG Analytics,3.7,(251 Reviews),Private,Pune + 2 more,17 years old,501-1k Employees (India)
Fujiyama Power S...,3.6,(251 Reviews),Private,"Delhi/NCR,Delhi + 33 more",27 years old,51-200 Employees (India)
Mecon,4.0,(251 Reviews),Private,"Ranchi,Jharkhand + 34 more",64 years old,1k-5k Employees (India)
Magic Bus India ...,4.1,(251 Reviews),Private,"Mumbai,Maharashtra + 38 more",24 years old,1k-5k Employees (India)
SHARE Microfin,4.2,(251 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 96 more",34 years old,501-1k Employees (India)
Axiscades,3.3,(251 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",33 years old,1k-5k Employees (India)
Markets and Mark...,3.5,(251 Reviews),Private,"Pune,Maharashtra + 5 more",13 years old,501-1k Employees (India)
Testbook.com,3.7,(251 Reviews),Private,"Mumbai,Maharashtra + 13 more",9 years old,501-1k Employees (India)
Kyungshin Indust...,3.4,(250 Reviews),Chennai + 8 more,26 years old,201-500 Employees (India),
Time Technoplast,3.6,(250 Reviews),Public,"Mumbai,Maharashtra + 28 more",31 years old,1k-5k Employees (India)
Galaxy Surfactan...,3.5,(250 Reviews),Public,Mumbai + 9 more,43 years old,1k-5k Employees (India)
Teradata,4.2,(250 Reviews),Private,"San Diego,California + 7 more",44 years old,1k-5k Employees (India)
Capital Trust,3.7,(250 Reviews),Public,"Delhi/NCR,New Delhi + 67 more",37 years old,201-500 Employees (India)
Madina Group,4.6,(250 Reviews),Private,Doha + 14 more,26 years old,201-500 Employees (India)
Arvato,3.6,(250 Reviews),Private,Gütersloh + 8 more,27 years old,201-500 Employees (India)
Flowserve,4.2,(250 Reviews),Private,"Irving,Texas + 10 more",26 years old,1k-5k Employees (India)
Insolutions Glob...,3.7,(250 Reviews),Private,Mumbai + 16 more,19 years old,1k-5k Employees (India)
URC Construction,3.7,(249 Reviews),Private,"Chennai,Tamil Nadu + 23 more",67 years old,201-500 Employees (India)
Escon Elevators,3.7,(249 Reviews),Private,"Navi Mumbai,Maharashtra + 9 more",33 years old,51-200 Employees (India)
M.J Global,4.5,(249 Reviews),Public,Noida + 4 more,43 years old,201-500 Employees (India)
Shivalik Small F...,4.0,(249 Reviews),Private,"Noida,Uttar Pradesh + 16 more",26 years old,501-1k Employees (India)
ManipalCigna Hea...,4.1,(249 Reviews),JV,"Mumbai,Maharashtra + 70 more",11 years old,1k-5k Employees (India)
Shriram Group,4.1,(7.4k Reviews),Private,"Chennai,Tamil Nadu + 109 more",49 years old,50k-1 Lakh Employees (India)
Becton Dickinson,4.2,(259 Reviews),"Franklin Lakes,New Jersey + 22 more",22 years old,1k-5k Employees (India),
Religare Securit...,3.6,(248 Reviews),Private,"Delhi/NCR,Delhi + 63 more",37 years old,1k-5k Employees (India)
Akumentis Health...,3.6,(248 Reviews),Private,Thane + 36 more,13 years old,1k-5k Employees (India)
Indostar Capital...,4.2,(248 Reviews),Public,"Mumbai,Maharashtra + 115 more",12 years old,1k-5k Employees (India)
Yardi Systems,4.1,(248 Reviews),Private,Santa Barbara + 1 more,39 years old,1k-5k Employees (India)
Religare Securit...,3.6,(248 Reviews),Private,"Delhi/NCR,Delhi + 63 more",37 years old,1k-5k Employees (India)
Aker Solutions,4.0,(248 Reviews),Private,"Fornebu,Akershus + 4 more",182 years old,1k-5k Employees (India)
Kalyani Technofo...,4.1,(248 Reviews),Private,"Pune,Maharashtra + 9 more",44 years old,1k-5k Employees (India)
Mrs Bector's Foo...,4.2,(248 Reviews),Public,Gurgaon + 37 more,45 years old,1k-5k Employees (India)
Zetwerk Manufact...,4.1,(248 Reviews),Private,"Bangalore,Karnataka + 34 more",5 years old,1k-5k Employees (India)
Wintax Solution,4.8,(248 Reviews),Partnership,"Surat,Gujarat + 68 more",5 years old,11-50 Employees (India)
Transasia Bio-Me...,3.3,(247 Reviews),Private,"Mumbai,Maharashtra + 38 more",44 years old,1k-5k Employees (India)
Consolidated Con...,4.3,(247 Reviews),Public,"Chennai,Tamil Nadu + 25 more",26 years old,501-1k Employees (India)
JNS Instruments,3.8,(247 Reviews),Public,Gurgaon + 14 more,22 years old,501-1k Employees (India)
Princess Cruises,4.6,(247 Reviews),Private,Santa Clarita + 8 more,58 years old,1k-5k Employees (India)
Waaree Energies,3.6,(247 Reviews),Private,"Mumbai,Maharashtra + 26 more",34 years old,51-200 Employees (India)
Anthem Bioscienc...,4.0,(247 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",17 years old,1k-5k Employees (India)
Sleek Internatio...,3.9,(247 Reviews),Private,"Mumbai,Maharashtra + 63 more",30 years old,501-1k Employees (India)
Liberty General ...,4.0,(247 Reviews),Private,"Mumbai,Maharashtra + 57 more",10 years old,1k-5k Employees (India)
Jyoti CNC Automa...,4.1,(247 Reviews),Public,"Rajkot,Gujarat + 23 more",34 years old,501-1k Employees (India)
Tetra Pak,4.2,(247 Reviews),Private,Pully + 11 more,36 years old,1k-5k Employees (India)
Baroda Global Sh...,3.8,(246 Reviews),Public,Mumbai + 41 more,6 years old,1k-5k Employees (India)
Zolo,3.6,(246 Reviews),Private,Bangalore + 15 more,8 years old,501-1k Employees (India)
Ralson India,3.6,(246 Reviews),Public,"Delhi/NCR,Delhi + 35 more",49 years old,501-1k Employees (India)
NR Switch N Radi...,4.0,(246 Reviews),Private,"Kota,Rajasthan + 47 more",25 years old,501-1k Employees (India)
Einfochips,3.8,(246 Reviews),Private,"San Jose,California + 5 more",29 years old,1k-5k Employees (India)
Worldline Global...,3.9,(246 Reviews),Private,"Bezons,Val Doise + 19 more",49 years old,1k-5k Employees (India)
NICE,4.1,(286 Reviews),Public,"Pune,Maharashtra + 9 more",37 years old,1k-5k Employees (India)
Win Medicare,4.1,(245 Reviews),Private,"Delhi/NCR,Delhi + 41 more",18 years old,501-1k Employees (India)
VKC Group,3.7,(245 Reviews),Private,"Calicut/Kozhikode,Kerala + 31 more",39 years old,1k-5k Employees (India)
Senco Gold,4.2,(245 Reviews),Private,"Kolkata,West Bengal + 47 more",29 years old,1k-5k Employees (India)
SunTec Web Servi...,3.6,(245 Reviews),Private,New Delhi + 2 more,24 years old,1k-5k Employees (India)
Wissen Infotech,4.2,(245 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",23 years old,1k-5k Employees (India)
Transguard Group...,4.1,(244 Reviews),Private,"Dubai,Dubai + 19 more",22 years old,501-1k Employees (India)
Katerra,3.5,(244 Reviews),Private,"Menlo Park,California + 13 more",8 years old,501-1k Employees (India)
Eisai Pharmaceut...,4.3,(244 Reviews),Public,"Tokyo,Tokyo-to + 12 more",19 years old,201-500 Employees (India)
Siti Networks,4.0,(244 Reviews),Public,Noida + 43 more,29 years old,201-500 Employees (India)
Jawahar Navodaya...,4.4,(244 Reviews),Private,"Noida,Uttar Pradesh + 91 more",38 years old,10k-50k Employees (India)
International Ga...,3.6,(244 Reviews),Private,Gurgaon/Gurugram + 5 more,33 years old,501-1k Employees (India)
Zoomcar,3.9,(244 Reviews),Private,"Bangalore,Karnataka + 28 more",11 years old,1k-5k Employees (India)
Yodlee,3.8,(244 Reviews),Private,"Redwood City,San Francisco + 3 more",24 years old,1k-5k Employees (India)
Cera Sanitarywar...,4.1,(244 Reviews),Public,"London,England + 48 more",43 years old,1k-5k Employees (India)
Ryan,4.5,(244 Reviews),Private,"Dallas,Texas + 1 more",32 years old,501-1k Employees (India)
Capco Technologi...,3.9,(244 Reviews),Private,London + 11 more,25 years old,1k-5k Employees (India)
Ricoh,4.1,(262 Reviews),Public,"Ota City,Tokyo + 37 more",87 years old,1-10 Employees (India)
Thryve Digital,4.2,(243 Reviews),LLP,"Chennai,Tamil Nadu + 2 more",7 years old,1k-5k Employees (India)
Sheenlac Paints,3.4,(243 Reviews),Public,"Chennai,Tamil Nadu + 31 more",61 years old,501-1k Employees (India)
India Nippon Ele...,4.1,(243 Reviews),Public,"Hosur,Tamil Nadu + 15 more",39 years old,501-1k Employees (India)
Teva API,3.8,(243 Reviews),Private,Tel Aviv + 14 more,88 years old,1k-5k Employees (India)
360 Realtors,3.6,(243 Reviews),LLP,"Gurgaon/Gurugram,Haryana + 19 more",9 years old,501-1k Employees (India)
GGS Information ...,3.6,(243 Reviews),Private,"York,Pennsylvania + 6 more",35 years old,501-1k Employees (India)
Polaris Consulti...,3.7,(243 Reviews),Private,"Chennai,Tamil Nadu + 13 more",30 years old,1k-5k Employees (India)
LanceSoft,3.4,(243 Reviews),Private,Herndon + 16 more,23 years old,201-500 Employees (India)
L&T Heavy Civil ...,4.4,(243 Reviews),Chennai + 36 more,5k-10k Employees (India),,
Varroc Engineeri...,3.8,(243 Reviews),Aurangabad + 13 more,33 years old,1k-5k Employees (India),
ELGI Equipments,4.0,(256 Reviews),Public,"Coimbatore,Tamil Nadu + 22 more",63 years old,1k-5k Employees (India)
Anmol Industries,4.0,(242 Reviews),Public,"Kolkata,West Bengal + 41 more",29 years old,501-1k Employees (India)
ETA Engineering,3.7,(242 Reviews),Private,"Chennai,Tamil Nadu + 17 more",29 years old,501-1k Employees (India)
Avineon India,3.7,(242 Reviews),Private,Mc Lean + 4 more,25 years old,1k-5k Employees (India)
Syrma Technology,4.0,(242 Reviews),Private,"Chennai,Tamil Nadu + 7 more",19 years old,201-500 Employees (India)
Ramco Industries,4.3,(242 Reviews),Public,"Chennai,Tamil Nadu + 44 more",31 years old,1k-5k Employees (India)
Automatic Infote...,4.6,(242 Reviews),Private,"Pune,Maharashtra + 6 more",18 years old,201-500 Employees (India)
Phillips Carbon ...,3.9,(242 Reviews),Public,"Kolkata,West Bengal + 11 more",63 years old,501-1k Employees (India)
SNS College of T...,4.9,(242 Reviews),501-1k Employees (India),,,
CSG Internationa...,4.3,(242 Reviews),Private,"Englewood,Colorado + 4 more",29 years old,1k-5k Employees (India)
Kolte Patil Deve...,4.1,(242 Reviews),Public,"Pune,Maharashtra + 6 more",32 years old,1k-5k Employees (India)
Eli Lilly and Co...,4.3,(242 Reviews),Public,"Indianapolis,Indiana + 17 more",30 years old,201-500 Employees (India)
Hinduja Housing ...,4.0,(241 Reviews),Private,"Chennai,Tamil Nadu + 83 more",8 years old,1k-5k Employees (India)
Reliance Jewels,4.3,(241 Reviews),Private,"Mumbai,Maharashtra + 71 more",16 years old,201-500 Employees (India)
Harjai Computers,4.4,(241 Reviews),Private,"Mumbai,Maharashtra + 7 more",28 years old,501-1k Employees (India)
Kelly Services,4.1,(241 Reviews),Private,"Troy,Michigan + 27 more",77 years old,51-200 Employees (India)
SMS Infrastructu...,3.8,(241 Reviews),Private,"Nagpur,Maharashtra + 39 more",60 years old,1k-5k Employees (India)
Mazagon Dock,4.3,(241 Reviews),Private,"Mumbai,Maharashtra + 3 more",89 years old,1k-5k Employees (India)
Essae Teraoka,3.8,(241 Reviews),JV,"Bangalore/Bengaluru,Karnataka + 52 more",37 years old,51-200 Employees (India)
Tata Steel Utili...,3.8,(241 Reviews),Jamshedpur + 10 more,,,
Tsys Card Tech S...,4.3,(241 Reviews),"Columbus,Georgia + 2 more",39 years old,1k-5k Employees (India),
Reliance Home Fi...,4.6,(240 Reviews),Public,"Mumbai,Maharashtra + 42 more",15 years old,501-1k Employees (India)
Emerson Network ...,4.1,(240 Reviews),Public,"St. Louis,Missouri + 34 more",133 years old,1k-5k Employees (India)
Zeetech Manageme...,4.5,(240 Reviews),Private,Dehradun + 31 more,12 years old,1-10 Employees (India)
Victora Tool Eng...,3.9,(240 Reviews),Private,"Faridabad,Haryana + 6 more",51 years old,1k-5k Employees (India)
Schwing Stetter,4.1,(240 Reviews),Private,Herne + 32 more,78 years old,1k-5k Employees (India)
Ergode IT Servic...,3.9,(240 Reviews),Private,"Houston,Texas, + 3 more",17 years old,501-1k Employees (India)
Kerala State Ele...,4.3,(240 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 20 more",66 years old,10k-50k Employees (India)
Vara United,3.8,(240 Reviews),Private,Mumbai + 26 more,9 years old,1k-5k Employees (India)
Uniparts Group,4.1,(240 Reviews),Private,"Noida,Uttar Pradesh + 14 more",39 years old,501-1k Employees (India)
Sheela Foam,4.3,(240 Reviews),Public,"Delhi/NCR,Delhi + 60 more",52 years old,1k-5k Employees (India)
Mavenir Systems,3.9,(240 Reviews),Private,"Richardson,Texas + 11 more",6 years old,1k-5k Employees (India)
Alankit,2.9,(240 Reviews),Public,"Delhi/NCR,New Delhi + 33 more",32 years old,1k-5k Employees (India)
Ceinsys Tech,3.8,(239 Reviews),Public,"Nagpur,Maharashtra + 31 more",25 years old,501-1k Employees (India)
Onward eServices,3.9,(239 Reviews),Public,"Mumbai,Maharashtra + 39 more",20 years old,1k-5k Employees (India)
XL Health,4.4,(239 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",26 years old,11-50 Employees (India)
Continental Engi...,4.0,(239 Reviews),Private,New Delhi + 23 more,40 years old,10k-50k Employees (India)
Competent Synerg...,3.8,(239 Reviews),Private,"Chandigarh,Haryana + 23 more",28 years old,501-1k Employees (India)
SPML Infra,3.4,(239 Reviews),Public,"Delhi/NCR,Delhi + 39 more",42 years old,501-1k Employees (India)
Onward eServices,3.9,(239 Reviews),Public,"Mumbai,Maharashtra + 39 more",20 years old,1k-5k Employees (India)
XL Health,4.4,(239 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",26 years old,11-50 Employees (India)
Ceinsys Tech,3.8,(239 Reviews),Public,"Nagpur,Maharashtra + 31 more",25 years old,501-1k Employees (India)
Merck,4.2,(492 Reviews),Private,"Rahway,New Jersey + 36 more",132 years old,1k-5k Employees (India)
People Group,3.9,(351 Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,1k-5k Employees (India)
